company,domain,location,is_sf,total_score,blog_score,spa_score,schema_score,decision_score,top_gap,outreach_hook,notes
Default,default.com,"San Francisco, CA",True,30,0,0,25,5,schema,Hey — Default has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://www.default.com/resources (8251 chars visible) || spa: server-rendered (8747 chars visible) || schema: no JSON-LD schema on homepage || decision: homepage links to decision content (/post/leandata-vs-ringlead)
Superhuman,superhuman.com,"San Francisco, CA",True,30,0,5,25,0,schema,Hey — Superhuman has no JSON-LD schema on the homepage. That's what tells ChatGPT *what* your page is. Adding it is a same-week win. Open to a chat?,blog: blog reachable at https://blog.superhuman.com/ (6256 chars visible) || spa: JS framework (__NEXT_DATA__) but content is pre-rendered || schema: no JSON-LD schema on homepage || decision: decision-support page at /compare
Figma,figma.com,"San Francisco, CA",True,25,0,5,0,20,decision,Hey — Figma has no /vs or /alternatives pages. Those are the single most-cited page type in LLM answers to B2B buyer queries. Want to see which competitors are eating that traffic?,blog: blog reachable at https://www.figma.com/blog/ (10971 chars visible) || spa: JS framework (ng-app) but content is pre-rendered || schema: JSON-LD types: Organization || decision: no comparison/alternatives content found
Retool,retool.com,"San Francisco, CA",True,20,0,0,0,20,decision,Hey — Retool has no /vs or /alternatives pages. Those are the single most-cited page type in LLM answers to B2B buyer queries. Want to see which competitors are eating that traffic?,blog: blog reachable at https://retool.com/blog/introducing-enterprise-appgen (12350 chars visible) || spa: server-rendered (5895 chars visible) || schema: JSON-LD types: Organization || decision: no comparison/alternatives content found
Vercel,vercel.com,"San Francisco, CA",True,20,0,0,0,20,decision,Hey — Vercel has no /vs or /alternatives pages. Those are the single most-cited page type in LLM answers to B2B buyer queries. Want to see which competitors are eating that traffic?,blog: blog reachable at https://vercel.com/blog (103428 chars visible) || spa: server-rendered (7126 chars visible) || schema: JSON-LD types: SoftwareApplication || decision: no comparison/alternatives content found
Replo,replo.app,"San Francisco, CA",True,20,0,0,0,20,decision,Hey — Replo has no /vs or /alternatives pages. Those are the single most-cited page type in LLM answers to B2B buyer queries. Want to see which competitors are eating that traffic?,blog: blog reachable at https://www.replo.app/blog (6544 chars visible) || spa: server-rendered (19847 chars visible) || schema: JSON-LD types: WebSite || decision: no comparison/alternatives content found
Rippling,rippling.com,"San Francisco, CA",True,10,0,5,0,5,spa,"Hey — Rippling's homepage is JS-rendered, which means GPTBot and PerplexityBot load a near-empty page. Your site is effectively invisible to AI search. Quick look at the fix?","blog: blog reachable at https://www.rippling.com/blog (11228 chars visible) || spa: JS framework (__NEXT_DATA__) but content is pre-rendered || schema: JSON-LD types: Organization, Product || decision: homepage links to decision content (/entity-vs-eor-cost-calculator)"
Hightouch,hightouch.com,"San Francisco, CA",True,10,0,5,0,5,spa,"Hey — Hightouch's homepage is JS-rendered, which means GPTBot and PerplexityBot load a near-empty page. Your site is effectively invisible to AI search. Quick look at the fix?",blog: blog reachable at https://hightouch.com/blog/category/all/page/1 (12389 chars visible) || spa: JS framework (__NEXT_DATA__) but content is pre-rendered || schema: JSON-LD types: VideoObject || decision: homepage links to decision content (/resources/traditional-cdp-vs-composable-cdp)
Brex,brex.com,"San Francisco, CA",True,5,0,5,0,0,spa,"Hey — Brex's homepage is JS-rendered, which means GPTBot and PerplexityBot load a near-empty page. Your site is effectively invisible to AI search. Quick look at the fix?",blog: blog reachable at https://www.brex.com/journal (9306 chars visible) || spa: JS framework (__NEXT_DATA__) but content is pre-rendered || schema: JSON-LD types: Corporation || decision: decision-support page at /vs
Webflow,webflow.com,"San Francisco, CA",True,5,0,0,0,5,decision,Hey — Webflow has no /vs or /alternatives pages. Those are the single most-cited page type in LLM answers to B2B buyer queries. Want to see which competitors are eating that traffic?,blog: blog reachable at https://webflow.com/blog (11564 chars visible) || spa: server-rendered (28060 chars visible) || schema: JSON-LD types: Organization || decision: homepage links to decision content (https://webflow.com/vs/contentful)
Metabase,metabase.com,"San Francisco, CA",True,5,0,0,0,5,decision,Hey — Metabase has no /vs or /alternatives pages. Those are the single most-cited page type in LLM answers to B2B buyer queries. Want to see which competitors are eating that traffic?,blog: blog reachable at https://www.metabase.com/blog (49350 chars visible) || spa: server-rendered (10210 chars visible) || schema: JSON-LD types: Organization || decision: homepage links to decision content (/lp/metabase-vs-tableau)
