company,domain,location,is_sf,total_score,blog_score,spa_score,schema_score,decision_score,top_gap,outreach_hook,notes
Metabase,metabase.com,"San Francisco, CA",True,0,0,0,0,0,none,Hey — Metabase's fundamentals look clean in our GEO audit. The next frontier is tracking how often ChatGPT/Perplexity *actually* surface you in buyer queries. That's what AthenaHQ measures — interested?,"blog: blog reachable at https://www.metabase.com/learn/ (9887 chars visible) || spa: server-rendered (10210 chars visible) || schema: JSON-LD types: Organization, PostalAddress, Thing || decision: decision content linked from homepage (https://metabase.com/lp/metabase-vs-tableau)"
Webflow,webflow.com,"San Francisco, CA",True,0,0,0,0,0,none,Hey — Webflow's fundamentals look clean in our GEO audit. The next frontier is tracking how often ChatGPT/Perplexity *actually* surface you in buyer queries. That's what AthenaHQ measures — interested?,"blog: blog reachable at https://webflow.com/blog (11564 chars visible) || spa: server-rendered (28060 chars visible) || schema: JSON-LD types: Action, AggregateRating, Audience, BusinessAudience, CommunicateAction, ContactPoint, EntryPoint, ImageObject, Organization, OrganizationRole, Person, PostalAddress, RegisterAction, Review, SoftwareApplication, WebContent, WebPage, WebPageElement, WebSite || decision: decision content linked from homepage (https://webflow.com/vs/contentful)"
wispr flow,wispr.ai,san francisco,True,0,0,0,0,0,none,Hey — wispr flow's fundamentals look clean in our GEO audit. The next frontier is tracking how often ChatGPT/Perplexity *actually* surface you in buyer queries. That's what AthenaHQ measures — interested?,"blog: blog reachable at https://wisprflow.ai/blog (9925 chars visible) || spa: server-rendered (11424 chars visible) || schema: JSON-LD types: EducationalOccupationalCredential, Organization, Person || decision: decision URL from sitemap (https://wisprflow.ai/post/android-vs-iphone-2026) (redirected wispr.ai → wisprflow.ai)"
Retool,retool.com,"San Francisco, CA",True,0,0,0,0,0,none,Hey — Retool's fundamentals look clean in our GEO audit. The next frontier is tracking how often ChatGPT/Perplexity *actually* surface you in buyer queries. That's what AthenaHQ measures — interested?,"blog: blog reachable at https://retool.com/blog/introducing-enterprise-appgen (12350 chars visible) || spa: server-rendered (5895 chars visible) || schema: JSON-LD types: ContactPoint, Organization, PostalAddress || decision: decision URL from sitemap (https://retool.com/blog/3-experts-on-building-vs-buying-internal-tools)"
Clay,clay.com,"New York, NY",False,0,0,0,0,0,none,Hey — Clay's fundamentals look clean in our GEO audit. The next frontier is tracking how often ChatGPT/Perplexity *actually* surface you in buyer queries. That's what AthenaHQ measures — interested?,"blog: blog reachable at https://www.clay.com/blog (91125 chars visible) || spa: server-rendered (15354 chars visible) || schema: JSON-LD types: AggregateRating, Offer, Organization, Person, Rating, Review, SoftwareApplication, WebSite || decision: decision-support page at /why-clay"
Arcade,arcade.software,"San Francisco, CA",True,0,0,0,0,0,none,Hey — Arcade's fundamentals look clean in our GEO audit. The next frontier is tracking how often ChatGPT/Perplexity *actually* surface you in buyer queries. That's what AthenaHQ measures — interested?,"blog: blog reachable at https://www.arcade.software/blog (3322 chars visible) || spa: server-rendered (6033 chars visible) || schema: JSON-LD types: AggregateRating, Offer, Organization, SoftwareApplication || decision: decision URL from sitemap (https://www.arcade.software/post/arcade-vs-loom-where-interactive-content-meets-)"
wispr,wisprflow.ai,,False,0,0,0,0,0,none,Hey — wispr's fundamentals look clean in our GEO audit. The next frontier is tracking how often ChatGPT/Perplexity *actually* surface you in buyer queries. That's what AthenaHQ measures — interested?,"blog: blog reachable at https://wisprflow.ai/blog (9925 chars visible) || spa: server-rendered (11424 chars visible) || schema: JSON-LD types: EducationalOccupationalCredential, Organization, Person || decision: decision URL from sitemap (https://wisprflow.ai/post/android-vs-iphone-2026)"
Vercel,vercel.com,"San Francisco, CA",True,0,0,0,0,0,none,Hey — Vercel's fundamentals look clean in our GEO audit. The next frontier is tracking how often ChatGPT/Perplexity *actually* surface you in buyer queries. That's what AthenaHQ measures — interested?,"blog: blog reachable at https://vercel.com/blog (103428 chars visible) || spa: server-rendered (7112 chars visible) || schema: JSON-LD types: Offer, Organization, SoftwareApplication || decision: decision URL from sitemap (https://vercel.com/academy/nextjs-foundations/params-vs-searchparams)"
Replo,replo.app,"San Francisco, CA",True,0,0,0,0,0,none,Hey — Replo's fundamentals look clean in our GEO audit. The next frontier is tracking how often ChatGPT/Perplexity *actually* surface you in buyer queries. That's what AthenaHQ measures — interested?,"blog: blog reachable at https://www.replo.app/learn (4223 chars visible) || spa: server-rendered (19847 chars visible) || schema: JSON-LD types: AggregateRating, ImageObject, Offer, Organization, Thing, WebApplication, WebSite || decision: decision URL from sitemap (https://www.replo.app/blog/landing-page-vs-collection-page-vs-pdp)"
Mercury,mercury.com,"San Francisco, CA",True,0,0,0,0,0,none,Hey — Mercury's fundamentals look clean in our GEO audit. The next frontier is tracking how often ChatGPT/Perplexity *actually* surface you in buyer queries. That's what AthenaHQ measures — interested?,"blog: blog reachable at https://mercury.com/insights (5894 chars visible) || spa: server-rendered (8437 chars visible) || schema: JSON-LD types: AggregateRating, ContactPoint, FinancialService, MobileApplication, Offer, OfferCatalog, Organization, Person, PostalAddress, WebSite || decision: decision URL from sitemap (https://mercury.com/blog/assets-vs-liabilities-vs-equity)"
